,zip,zip add,Lat,Lng
0,28277,"28277, Germany",53.0365574,8.8219678
1,38350,"38350, Germany",52.2430058,11.0017167
2,26131,"26131, Germany",53.1267181,8.1690126
3,26871,"26871, Germany",53.0521313,7.410425800000001
4,47809,"47809, Germany",51.3317165,6.6500224
5,28865,"28865, Germany",53.1555884,8.8970748
6,23738,"23738, Germany",54.2196332,10.8833244
7,80999,"80999, Germany",48.1930647,11.4463256
8,49324,"49324, Germany",52.2052401,8.3403115
9,4539,"04539, Germany",51.153357,12.2833315
10,61348,"61348, Germany",50.2279312,8.614208699999999
11,94315,"94315, Germany",48.87033,12.5765189
12,74076,"74076, Germany",49.1544764,9.2220957
13,9125,"09125, Germany",50.7941097,12.9331275
14,42659,"42659, Germany",51.14611679999999,7.1220857
15,1900,"01900, Germany",51.14654669999999,14.0245274
16,83626,"83626, Germany",47.889636,11.7692039
17,26844,"26844, Germany",53.2681662,7.3849623
18,34132,"34132, Germany",51.2804955,9.426647599999999
19,47652,"47652, Germany",51.6264583,6.180650399999999
20,16775,"16775, Germany",53.0563903,13.1082776
21,22889,"22889, Germany",53.736687,10.0839485
22,49716,"49716, Germany",52.7162058,7.264087
23,65307,"65307, Germany",50.14110119999999,8.0571521
24,69190,"69190, Germany",49.2967902,8.638793699999999
25,67065,"67065, Germany",49.4537628,8.4183208
26,22147,"22147, Germany",53.61377659999999,10.1360716
27,1665,"01665, Germany",51.0954089,13.4641847
28,13581,"13581, Germany",52.5299056,13.1870599
29,37127,"37127, Germany",51.46829349999999,9.744758500000001
30,68789,"68789, Germany",49.2568614,8.6265334
31,66346,"66346, Germany",49.2972408,6.891953999999999
32,85221,"85221, Germany",48.2579001,11.452981
33,68199,"68199, Germany",49.45640059999999,8.4870173
34,79263,"79263, Germany",48.0792752,8.0936192
35,21465,"21465, Germany",53.54685929999999,10.2554002
36,32657,"32657, Germany",52.03535000000001,8.9070006
37,56653,"56653, Germany",50.4295274,7.244350499999999
38,42349,"42349, Germany",51.20343740000001,7.130101199999999
39,67471,"67471, Germany",49.351579,7.935980600000001
40,68239,"68239, Germany",49.4637092,8.560081
41,99425,"99425, Germany",50.972556,11.3558499
42,79235,"79235, Germany",48.09516250000001,7.6391613
43,53783,"53783, Germany",50.7647691,7.4401363
44,51061,"51061, Germany",50.9958446,7.0044716
45,9600,"09600, Germany",50.8970724,13.2538388
46,33699,"33699, Germany",51.9876349,8.6174004
47,67593,"67593, Germany",49.7003751,8.2356464
48,15299,"15299, Germany",52.2523485,14.420954
49,21509,"21509, Germany",53.5447292,10.2167335
50,64646,"64646, Germany",49.6430169,8.6675419
51,52531,"52531, Germany",50.9253588,6.1177073
52,63303,"63303, Germany",50.0295097,8.69492
53,61130,"61130, Germany",50.2465175,8.8830827
54,46485,"46485, Germany",51.6534456,6.653707499999999
55,21224,"21224, Germany",53.40232169999999,9.900279099999999
56,50171,"50171, Germany",50.8530284,6.673858999999999
57,72336,"72336, Germany",48.26782679999999,8.8545505
58,91522,"91522, Germany",49.29993229999999,10.5595763
59,65329,"65329, Germany",50.20022729999999,8.1004734
60,83547,"83547, Germany",48.0904586,12.2842625
61,66280,"66280, Germany",49.3022275,7.0621814
62,18276,"18276, Germany",53.6832909,12.0939032
63,25576,"25576, Germany",53.8699989,9.322209299999999
64,84567,"84567, Germany",48.3071411,12.7864268
65,97941,"97941, Germany",49.6254457,9.6632746
66,26197,"26197, Germany",52.9541353,8.2396026
67,18574,"18574, Germany",54.2993523,13.2746376
68,35094,"35094, Germany",50.8470818,8.6684544
69,48432,"48432, Germany",52.2317604,7.468862000000001
70,88634,"88634, Germany",47.86388849999999,9.1728311
71,18225,"18225, Germany",54.1402509,11.7436735
72,17268,"17268, Germany",53.1816287,13.5478841
73,6792,"06792, Germany",51.6299461,12.2546342
74,8058,"08058, Germany",50.7367202,12.4798711
75,17129,"17129, Germany",53.9180421,13.2417747
76,54579,"54579, Germany",50.3224173,6.7604536
77,19230,"19230, Germany",53.40188,11.2495709
78,25786,"25786, Germany",54.2383264,9.389242099999999
79,6184,"06184, Germany",51.4508654,12.0796709
80,69488,"69488, Germany",49.5629629,8.7084502
81,95100,"95100, Germany",50.1597601,12.1187021
82,63755,"63755, Germany",50.0866115,9.071959399999999
83,12623,"12623, Germany",52.5032943,13.6073143
84,54298,"54298, Germany",49.8530866,6.5693978
85,73110,"73110, Germany",48.6691464,9.565006499999999
86,73642,"73642, Germany",48.8904349,9.6470416
87,50999,"50999, Germany",50.8800407,7.0149269
88,8539,"08539, Germany",50.5287005,11.9954859
89,63856,"63856, Germany",49.9765942,9.2551693
90,71554,"71554, Germany",48.9184436,9.4942158
91,63457,"63457, Germany",50.1149566,8.9744605
92,17389,"17389, Germany",53.8392931,13.6728862
93,36284,"36284, Germany",50.8080855,9.9231537
94,9618,"09618, Germany",50.798815,13.3218443
95,66424,"66424, Germany",49.32535370000001,7.3448047
96,68219,"68219, Germany",49.4326266,8.5315905
97,38527,"38527, Germany",52.3679651,10.5801613
98,31515,"31515, Germany",52.42482529999999,9.407641
99,53227,"53227, Germany",50.7225704,7.1557344
100,16515,"16515, Germany",52.7439161,13.3614898
101,3238,"03238, Germany",51.5965743,13.7428165
102,46446,"46446, Germany",51.8455099,6.2430132
103,30952,"30952, Germany",52.297583,9.6518689
104,44797,"44797, Germany",51.42436619999999,7.220564699999999
105,82383,"82383, Germany",47.80534660000001,11.004653
106,50259,"50259, Germany",50.9930323,6.786287799999999
107,38321,"38321, Germany",52.1448891,10.6127176
108,88046,"88046, Germany",47.6422797,9.4972996
109,52076,"52076, Germany",50.7149258,6.1490776
110,55457,"55457, Germany",49.8962295,7.9260254
111,94099,"94099, Germany",48.4847627,13.2762956
112,21255,"21255, Germany",53.2779864,9.6911655
113,87748,"87748, Germany",48.072519,10.1515666
114,95030,"95030, Germany",50.31651,11.8687211
115,6712,"06712, Germany",51.0184289,12.1518573
